date,temperature,humidity,pressure,wind_speed,wind_direction,precipitation,cloud_cover,climate_condition
2020-01-01,12.417740341734449,79.14963669723055,1018.5557053373689,28.881505004289618,145,0.3996984775583483,61,Partly Cloudy
2020-01-02,15.30663488948112,62.79433635607226,1005.6467686582001,3.2489683451927727,124,0.05390778375299054,91,Cloudy
2020-01-03,17.977043483916624,77.15123050081648,1022.0064001160326,1.3196755214351434,183,0.5493154206393354,92,Cloudy
2020-01-04,16.025523067919732,77.98783324726259,1016.4515855422497,1.6954136146783356,45,0.12836327702622904,47,Partly Cloudy
2020-01-05,14.955553823855833,74.94465981072634,1016.3690035659223,8.373289415684017,126,0.3558784774210828,56,Partly Cloudy
2020-01-06,15.043794535574149,83.65424223105113,1014.005614066788,10.223103875171322,9,1.3311767163730417,90,Cloudy
2020-01-07,14.901094348808565,61.111569449259115,1011.3852518873222,8.919995812496605,213,0.14673557844732274,48,Partly Cloudy
2020-01-08,14.072785235638499,88.85417308741748,1015.5266530224889,9.937708155230652,340,0.8486339410241985,61,Partly Cloudy
2020-01-09,13.542429482559854,60.274295642496966,1009.6232626085618,22.69483671713514,94,0.7290605208896971,10,Clear
2020-01-10,14.922830719426438,68.25594687633183,1013.6427012960226,22.150554460339958,20,0.36172536098961794,49,Partly Cloudy
2020-01-11,17.693780636772036,75.43425155806794,1002.7893354626704,7.482040109586815,55,0.07523961637986834,47,Partly Cloudy
2020-01-12,16.907553850371933,70.36649843533812,1011.3064899157725,18.88689021910084,9,0.04783694674486302,62,Partly Cloudy
2020-01-13,15.592341000000761,77.88912644463971,1008.1304845235092,11.549727032892868,172,0.4183357469546779,28,Partly Cloudy
2020-01-14,17.82296223497702,86.52931932537888,1021.6909630332166,8.706765586204208,68,0.034415539701878724,55,Partly Cloudy
2020-01-15,18.374056537698905,58.17039436327796,1008.937766253207,23.62934306974223,310,0.3217748943369119,12,Clear
2020-01-16,13.411592624662951,69.41181534222866,1020.150339718131,7.0876922355450205,329,0.5594616884441151,37,Partly Cloudy
2020-01-17,21.96019929876636,68.08167528452803,1015.4742802651074,30.808755801410474,135,0.21162471020553697,75,Cloudy
2020-01-18,16.03128674899325,53.50498073037967,1017.1177218113354,11.523446163987446,58,0.27641473436532077,25,Partly Cloudy
2020-01-19,17.868645649249657,60.381507422889996,1015.3280639101388,5.24245307756519,153,0.07409374286338265,72,Cloudy
2020-01-20,21.682599341891542,66.81494046989926,1022.7598102902164,17.94456384284716,90,0.27355065382825305,55,Partly Cloudy
2020-01-21,17.293184610411007,67.52218749580666,1026.1755976961529,4.085587848799256,304,0.18052639326277073,54,Partly Cloudy
2020-01-22,22.78971157582457,67.6938095349017,1014.6474619560823,17.287530970882063,73,0.32578456301375197,94,Cloudy
2020-01-23,23.686727977386088,62.70459743131615,1008.7864461698952,14.194581169746085,77,0.6658664710409314,61,Partly Cloudy
2020-01-24,16.14492316588508,74.08257592237719,1026.645778852037,1.7126765430044109,347,0.5519328082807069,87,Cloudy
2020-01-25,12.077437553873539,44.60014842491494,1017.0238280523276,8.340698338635216,145,0.19158279432345213,64,Partly Cloudy
2020-01-26,14.658746332415838,77.60903429370137,1004.1587960230203,10.346660986285286,179,0.00521868643436175,37,Partly Cloudy
2020-01-27,22.256302390525082,50.27265091946859,1005.5486113499749,23.179054970424982,155,0.0006337259554998112,34,Partly Cloudy
2020-01-28,22.61886872750115,64.13215676348554,1007.9527448197773,9.351293784819232,176,0.056138533303677275,97,Cloudy
2020-01-29,25.269638135186383,59.780697794190196,1008.3186370560461,8.499713159738096,73,0.877443519827035,9,Clear
2020-01-30,23.830658217075822,70.47932652387105,1026.2415673097296,5.677375262206968,60,0.1463336628331569,1,Clear
2020-01-31,16.75344448177725,73.39723990189732,1020.9727212353896,16.618274385797836,218,0.9795146140493889,92,Cloudy
2020-02-01,26.378505258076842,54.65038520144934,1009.0118874692671,27.356013789925207,114,1.021668733268343,88,Cloudy
2020-02-02,23.810474218631484,72.01808077252933,1015.002422569369,6.504129364668636,97,0.4372945983703239,21,Partly Cloudy
2020-02-03,14.58138182806315,72.75801327114857,1011.49633062088,11.664288445252668,68,0.2752492105931691,36,Partly Cloudy
2020-02-04,20.441835744043498,78.17257019663215,1015.5080407754513,31.170683577000954,206,0.036488822720540263,95,Cloudy
2020-02-05,24.005360726280546,67.04008781389985,1002.1285583063415,28.993404745188617,306,0.34040736905169877,69,Partly Cloudy
2020-02-06,15.08784122752989,62.288663319409906,1009.7842722591218,15.413211448994367,193,0.18979437244011432,54,Partly Cloudy
2020-02-07,27.718520315998404,63.25799642421273,1015.7163679415836,10.696111320370344,34,0.33399661965531585,21,Partly Cloudy
2020-02-08,18.87757251227674,56.328971712362105,1019.7352029100465,6.373355357366402,76,0.128081738960162,8,Clear
2020-02-09,23.88671470734011,44.971580671992754,1008.1807397190006,12.990558196383487,251,0.1904005671891896,77,Cloudy
2020-02-10,21.53847771159231,75.91161057736079,1026.0758516983092,8.766734097994998,342,0.317301263775953,48,Partly Cloudy
2020-02-11,16.273951502651204,61.42481160721794,1022.6802520638194,11.990568468099829,189,0.014603426750053047,71,Cloudy
2020-02-12,22.14660056134036,69.7567929850716,1024.6713523621906,52.075263836176084,37,0.2460041044910143,73,Cloudy
2020-02-13,17.681206216308922,69.60058215883096,1015.5109768046683,15.958821027550727,333,0.03501713671746619,99,Cloudy
